Date,Close,Volume,Open,High,Low
01/13/2023,3999.09,--,3960.6,4003.95,3947.67
01/12/2023,3983.17,--,3977.57,3997.76,3937.56
01/11/2023,3969.61,--,3932.35,3970.07,3928.54
01/10/2023,3919.25,--,3888.57,3919.83,3877.29
01/09/2023,3892.09,--,3910.82,3950.57,3890.42
01/06/2023,3895.08,--,3823.37,3906.19,3809.56
01/05/2023,3808.1,--,3839.74,3839.74,3802.42
01/04/2023,3852.97,--,3840.36,3873.16,3815.77
01/03/2023,3824.14,--,3853.29,3878.46,3794.33
12/30/2022,3839.5,--,3829.06,3839.85,3800.34
12/29/2022,3849.28,--,3805.45,3858.19,3805.45
12/28/2022,3783.22,--,3829.56,3848.32,3780.78
12/27/2022,3829.25,--,3843.34,3846.65,3813.22
12/23/2022,3844.82,--,3815.11,3845.8,3797.01
12/22/2022,3822.39,--,3853.26,3853.26,3764.49
12/21/2022,3878.44,--,3839.49,3889.82,3839.49
12/20/2022,3821.62,--,3810.47,3838.24,3795.62
12/19/2022,3817.66,--,3853.79,3854.86,3800.04
12/16/2022,3852.36,--,3890.91,3890.91,3827.91
12/15/2022,3895.75,--,3958.37,3958.37,3879.45
12/14/2022,3995.32,--,4015.54,4053.76,3965.65
12/13/2022,4019.65,--,4069.38,4100.96,3993.03
12/12/2022,3990.56,--,3939.29,3990.71,3935.3
12/09/2022,3934.38,--,3954.17,3977.02,3933.04
12/08/2022,3963.51,--,3947.79,3974.19,3935.83
12/07/2022,3933.92,--,3933.28,3957.57,3922.68
12/06/2022,3941.26,--,3996.63,4001.51,3918.39
12/05/2022,3998.84,--,4052.02,4052.45,3984.49
12/02/2022,4071.7,--,4040.17,4080.48,4026.63
12/01/2022,4076.57,--,4087.14,4100.51,4050.87
11/30/2022,4080.11,--,3957.18,4080.11,3938.58
11/29/2022,3957.63,--,3964.19,3976.77,3937.65
11/28/2022,3963.94,--,4005.36,4012.27,3955.77
11/25/2022,4026.12,--,4023.34,4034.02,4020.76
11/23/2022,4027.26,--,4000.3,4033.78,3998.66
11/22/2022,4003.58,--,3965.51,4005.88,3956.88
11/21/2022,3949.94,--,3956.23,3962,3933.34
11/18/2022,3965.34,--,3966.39,3979.89,3935.98
11/17/2022,3946.56,--,3919.26,3954.33,3906.54
11/16/2022,3958.79,--,3976.82,3983.09,3954.34
11/15/2022,3991.73,--,4006.41,4028.84,3953.17
11/14/2022,3957.25,--,3977.97,4008.97,3956.4
11/11/2022,3992.93,--,3963.72,4001.48,3944.82
11/10/2022,3956.37,--,3859.89,3958.33,3859.89
11/09/2022,3748.57,--,3810.94,3818.2,3744.22
11/08/2022,3828.11,--,3817.02,3859.4,3786.28
11/07/2022,3806.8,--,3780.71,3813.95,3764.7
11/04/2022,3770.55,--,3766.98,3796.34,3708.84
11/03/2022,3719.89,--,3733.25,3750.59,3698.15
11/02/2022,3759.69,--,3852.9,3894.44,3758.68
11/01/2022,3856.1,--,3901.79,3911.79,3843.8
10/31/2022,3871.98,--,3881.85,3893.73,3863.18
10/28/2022,3901.06,--,3808.26,3905.42,3808.26
10/27/2022,3807.3,--,3834.69,3859.95,3803.79
10/26/2022,3830.6,--,3825.97,3886.15,3824.07
10/25/2022,3859.11,--,3799.44,3862.85,3799.44
10/24/2022,3797.34,--,3762.01,3810.74,3741.65
10/21/2022,3752.75,--,3657.1,3757.89,3647.42
10/20/2022,3665.78,--,3689.05,3736,3656.44
10/19/2022,3695.16,--,3703.11,3728.58,3666.51
10/18/2022,3719.98,--,3746.26,3762.79,3686.53
10/17/2022,3677.95,--,3638.65,3689.73,3638.65
10/14/2022,3583.07,--,3690.41,3712,3579.68
10/13/2022,3669.91,--,3520.37,3685.41,3491.58
10/12/2022,3577.03,--,3590.83,3608.34,3573.86
10/11/2022,3588.84,--,3595.86,3640.66,3568.45
10/10/2022,3612.39,--,3647.51,3652.17,3588.1
10/07/2022,3639.66,--,3706.74,3706.74,3620.73
10/06/2022,3744.52,--,3771.97,3797.93,3739.22
10/05/2022,3783.28,--,3753.25,3806.91,3722.66
10/04/2022,3790.93,--,3726.46,3791.92,3726.46
10/03/2022,3678.43,--,3609.78,3698.35,3604.93
09/30/2022,3585.62,--,3633.48,3671.44,3584.13
09/29/2022,3640.47,--,3687.01,3687.01,3610.4
09/28/2022,3719.04,--,3651.94,3736.74,3640.61
09/27/2022,3647.29,--,3686.44,3717.53,3623.29
09/26/2022,3655.04,--,3682.72,3715.67,3644.76
09/23/2022,3693.23,--,3727.14,3727.14,3647.47
09/22/2022,3757.99,--,3782.36,3790.9,3749.45
09/21/2022,3789.93,--,3871.4,3907.07,3789.49
09/20/2022,3855.93,--,3875.23,3876.01,3827.54
09/19/2022,3899.89,--,3849.91,3900.45,3838.5
